YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS 
2000 01 07 17 206  6.2  7.3  0.57  5.56  4.24 999 1016.4   5.2   5.9   1.9 99.0
2000 01 07 18 206  6.8  9.1  0.59  5.56  3.89 999 1014.9   5.6   5.9   2.1 99.0
2000 01 07 19 236  6.7  8.3  0.59  2.70  3.54 999 1014.1   5.9   5.9   1.5 99.0
2000 01 07 20 241  7.0  8.6  0.54  5.56  3.67 999 1013.4   6.2   5.9   1.6 99.0
2000 01 07 21 260  8.4  9.6  0.62  2.86  3.33 999 1013.9   6.0   5.8   0.5 99.0
2000 01 07 22 279  9.9 12.1  0.88  3.33  3.44 999 1014.7   5.8   5.8  -0.4 99.0
2000 01 07 23 275  9.5 11.6  0.81  3.57  3.60 999 1015.6   5.5   5.8  -0.4 99.0
2000 01 08 00 280 11.7 14.0  0.76  3.45  3.47 999 1016.1   5.1   5.8  -1.8 99.0
2000 01 08 01 265 10.7 13.5  0.85  4.00  3.62 999 1016.4   4.4   5.8  -2.5 99.0
2000 01 08 02 269 12.4 15.0  1.05  4.17  3.72 999 1017.0   3.6   5.8  -3.9 99.0
2000 01 08 03 273 12.6 14.4  0.99  4.00  3.73 999 1017.8   2.9   5.6  -5.1 99.0
2000 01 08 04 275 11.3 13.5  1.09  4.35  3.83 999 1018.7   2.4   5.6  -5.7 99.0
2000 01 08 05 283 10.2 12.2  0.81  3.85  3.58 999 1018.8   2.0   5.6  -4.7 99.0
2000 01 08 06 277 10.9 13.2  0.87  3.57  3.45 999 1019.4   1.7   5.6  -6.7 99.0
2000 01 08 07 282 11.5 16.1  0.73  3.45  3.31 999 1020.6   1.6   5.6  -7.2 99.0
2000 01 08 08 289 10.3 13.1  0.74  3.33  3.30 999 1021.6   1.2   5.6  -7.1 99.0
2000 01 08 09 296 11.0 13.3  0.74  3.45  3.30 999 1021.7   0.9   5.6  -7.7 99.0
2000 01 08 10 286 11.1 14.1  0.79  3.70  3.35 999 1022.3   0.4   5.6 999.0 99.0
2000 01 08 11 295 11.2 13.2  0.91  3.70  3.47 999 1023.0   0.3   5.6  -7.7 99.0
2000 01 08 12 298 10.2 12.7  0.79  3.85  3.48 999 1023.0   0.0   5.6  -8.8 99.0
2000 01 08 13 299 10.9 13.4  0.77  3.70  3.43 999 1023.3   0.0   5.6  -8.1 99.0
2000 01 08 14 305  9.8 12.8  0.75  3.57  3.41 999 1024.1  -0.3   5.6  -8.8 99.0
2000 01 08 15 289  7.9 10.9  0.70  3.33  3.35 999 1024.3  -0.3   5.5  -8.7 99.0
2000 01 08 16 279  8.1 10.0  0.70  3.45  3.30 999 1023.8   0.1   5.5  -8.2 99.0
2000 01 08 17 275  6.9  9.3  0.59  3.33  3.35 999 1023.4   0.4   5.5  -8.1 99.0
2000 01 08 18 271  6.7  9.9  0.54  3.13  3.20 999 1023.1   1.0   5.5  -9.3 99.0
2000 01 08 19 260  4.2  6.1  0.42  3.13  3.22 999 1022.5   1.3   5.6  -9.3 99.0
2000 01 08 20 249  4.4  5.8  0.32  2.78  3.20 999 1022.7   2.0   5.5 -10.3 99.0
2000 01 08 21 253  2.3  3.5  0.23  8.33  4.11 999 1022.1   2.3   5.5  -9.3 99.0
2000 01 08 22 215  6.3  7.8  0.19  8.33  5.90 999 1022.1   2.5   5.5  -7.7 99.0
2000 01 08 23 212  6.4  7.4  0.24  2.50  3.60 999 1022.4   2.4   5.5  -7.3 99.0
2000 01 09 00 202  8.3  9.8  0.32  2.56  3.00 999 1021.9   2.1   5.6  -5.0 99.0
