YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 05 22 159  5.8  7.4  0.40  2.63  3.11 999 1005.4   0.5   5.1  -7.2 99.0 99.00
2001 01 05 23 142  6.4  8.4  0.56  2.78  3.14 999 1004.7   0.9   5.1  -4.1 99.0 99.00
2001 01 06 00 154  6.2  7.5  0.59  3.33  3.31 999 1004.7   1.2   5.1  -2.6 99.0 99.00
2001 01 06 01 142  5.9  7.4  0.52  3.33  3.34 999 1003.9   1.2   5.1  -0.8 99.0 99.00
2001 01 06 02 152  7.5  8.5  0.74  3.70  3.52 999 1003.3   1.3   5.1  -0.1 99.0 99.00
2001 01 06 03 149  9.3 10.4  0.98  4.00  3.71 999 1002.4   1.6   5.1   0.2 99.0 99.00
2001 01 06 04 150 10.3 12.3  1.20  4.76  3.93 999 1001.7   2.4   5.1   0.5 99.0 99.00
2001 01 06 05 142 10.5 12.4  1.32  4.55  4.11 999 1000.7   2.5   4.8   0.8 99.0 99.00
2001 01 06 06 133  9.8 11.6  1.29  5.00  4.22 999 1000.0   3.1   4.8   1.3 99.0 99.00
2001 01 06 07 122  8.3 10.1  1.20  4.76  4.12 999  999.3   3.6   4.8   1.8 99.0 99.00
2001 01 06 08 121  7.8  9.7  1.04  4.55  3.89 999  998.9   4.3   5.0   2.5 99.0 99.00
2001 01 06 09 116  7.3  9.1  1.00  4.00  3.89 999  997.9   4.4   5.1   2.8 99.0 99.00
2001 01 06 10 114  6.2  7.3  0.84  4.00  3.83 999  997.7   4.6   5.1   2.9 99.0 99.00
2001 01 06 11 102  6.0  7.7  0.76  3.70  3.78 999  997.6   4.4   5.1   2.8 99.0 99.00
2001 01 06 12  64  1.8  2.8  0.80  3.70  4.03 999  997.8   4.4   5.1   2.9 99.0 99.00
2001 01 06 13 343  8.8 10.3  0.94  6.25  4.46 999  997.7   1.6   5.1   0.2 99.0 99.00
2001 01 06 14 339 10.4 12.2  1.31  4.00  4.10 999  997.4   0.1   5.1  -0.9 99.0 99.00
2001 01 06 15 338 10.7 12.4  1.28  3.70  4.04 999  997.3  -0.4   5.1  -1.3 99.0 99.00
2001 01 06 16 332 10.8 12.8  1.47  7.69  4.53 999  996.9  -0.8   5.1  -1.7 99.0 99.00
2001 01 06 17 335 10.4 12.4  1.72  8.33  4.88 999  996.4  -0.3   5.1  -1.4 99.0 99.00
2001 01 06 18 329  9.6 11.6  1.73  8.33  5.00 999  996.3   0.1   5.1  -1.1 99.0 99.00
